Qui a joué le role de Neo dans la trilogie Matrix ?;Keanu Reeves
Qui a realisé le film Pulp Fiction ?;Quentin Tarantino
Quelle actrice a remporté l'oscar de la meilleure actrice pour son role dans LaLaLand ?;Emma Stone
Avec quel role Jennifer Lawrence s'est t elle fait connaitre mondialement ?;Katniss Everdeen dans Hunger Games
Quel est le top 3 des films par revenus au box-office ?;Avatar, Avengers Engame, Avatar 2
Qui a joué le role de Tony Montana dans Scarface ?;Al Pacino
En quelle année a été publié le premier Roi Lion ?;1994.
Quelle actrice a incarné la princesse Leia dans la saga Star Wars ?;Carrie Fisher
Quel film a remporté l'Oscar du meilleur film en 2020 ?;Parasite
Quel film de 1975 a popularisé le genre du film d'horreur sur les requins ?;Les Dents de la mer (Jaws)
Quel film d'animation de Disney raconte l'histoire d'un jeune poisson clown qui cherche son fils ?;Nemo
Quel est le nom du hobbit qui porte l'Anneau unique dans la saga du seigneur des anneaux ?;Frodo Baggins / Frodon Saquet
Par quel studio d'animation a été produit Vice-Versa (inside out) ?;Pixar
Quel est le nom du personnage principal dans le film Jurassic Park ?;Dr. Alan Grant
Qui a joué le rôle principal dans le film Forrest Gump, sorti en 1994 ?;Tom Hanks
