Quel est le premier pays à avoir mis en vente l'aspirine ?;Allemagne, 1903;NONE;
Qui a chanté la chanson 'Rolling in the Deep', un succès mondial en 2010 ?;Adele;NONE;
Quel est ce pays ? (drapeau);Rwanda;NONE;https://www.larousse.fr/encyclopedie/data/images/1009579-Drapeau_du_Rwanda.jpg
Qui est l'auteur du roman Le Petit Prince ?;Antoine de Saint Exupéry;NONE;
Quelle est l'étoile la plus proche du soleil ?;Proxima Centauri;NONE;
Quelle est la couleur du soleil ?;Blanc;NONE;
Quel était le nom complet du premier film de la saga Star Wars au moment de sa sortie ?;Star Wars;NONE;
Qui a écrit la pièce de théâtre Roméo et Juliette ?;William Shakespeare;NONE;
De quel groupe Agnetha Fältskog est-elle la chanteuse principale ?;ABBA;NONE;
Quel est l'évolution de Salameche ?;Reptincel;NONE;
Qui est l'auteur de la saga de fantasy Game of Thrones ?;George R. R. Martin;NONE;
Comment s'écrit le mot ... ?;coccyx;NONE;
De quoi est mort napoleon bonaparte ?;Cancer de l'estomac;NONE;
Quel pays possède le plus de fuseaux horaires différents sur son territoire ?;France;NONE;
Que ne mange pas un végétalien ?;tout produit d'origine animale;NONE;
Dans l'adaptation cinématographique du seigneur de anneaux, combien de fois Legolas s'adresse t il directement à Frodo ?;Une seule fois;NONE;
Quelle était la distance d'arret mis en avant par la sécurité routière pour justifier le passage de 90 à 80km/h sur certaines routes ?;13m;NUMBER;
Quel groupe de rock britannique a sorti l'album The Dark Side of the Moon en 1973 ?;Pink Floyd;NONE;
Quel est le titre du premier roman de la saga Harry Potter écrit par J.K. Rowling ?;Harry Potter à l'école des sorciers;NONE;
Quelle était le nom de la ville aujourd'hui nommée Paris au temps des Romains ?;Lutèce ;NONE;
Quels animaux feulent ?;félins;NONE;
Quelle est l'unité de distance utilisée par les marins francais ?;mille nautique 1.852km;NONE;
Dans quelle ville se déroule l'action principale du roman Les Misérables de Victor Hugo ?;Paris;NONE;
Quel est le titre de la chanson de Michael Jackson qui a remporté huit Grammy Awards en 1984, dont celui de la Chanson de l'année ?;Billie Jean;NONE;
Quel a été le tout premier film disney publié ?;Blanche Neige, 1937;NONE;
Nommez un pays qui finit par la lettre O;Congo;NONE;
Combien de montagnes ont leur sommet à plus de 8000m d’altitude ?;14;NUMBER;
Quelle est la longueur du plus grand bateau de croisière au monde ?;365m icon of the seas;NUMBER;
A quelle profondeur git le titanic ?;-3800m;NUMBER;
Depuis combien de temps l'humain (homo sapiens) existe-t-il ?;~300 000 ans;NUMBER;
Combiens d'os dans le corps humain ?;206.;NUMBER;
